,Type of property,Location,Postcode,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2,Province,Region
834,penthouse,loppem,8210,10665584,875000,H. Conciencelaan 70,3,A,94.0,0,1,134,0,0,2,2012,As new,0,2,0,1,3,0,Gas,875000,€875000,1,West-Vlaanderen,Flanders
836,house,brugge,8310,10665581,299000,Baron Ruzettelaan 411/01,3,C,242.0,0,0,0,108,0,0,0,0,0,1,0,0,1,0,0,299000,€299000,0,West-Vlaanderen,Flanders
838,house,boussu,7300,10665570,55000,"Rue de l'Eglise, 1",2,G,698.0,0,0,0,0,0,2,0,To renovate,0,0,0,0,0,0,0,55000,€55000,0,Hainaut,Wallonia
839,house,boussu,7300,10665568,45000,"Rue de l'Eglise, 1",2,G,715.0,0,0,0,214,0,2,0,To restore,0,0,0,0,0,0,0,45000,€45000,0,Hainaut,Wallonia
840,house,boussu,7300,10665566,55000,"Rue de l'Eglise, 1",2,G,549.0,0,0,0,286,0,2,0,To renovate,0,0,1,0,0,0,0,55000,€55000,0,Hainaut,Wallonia
841,house,boussu,7300,10665564,55000,"Rue de l'Eglise, 1",2,G,575.0,0,0,0,212,0,2,0,To restore,0,0,0,0,0,0,0,55000,€55000,0,Hainaut,Wallonia
844,apartment,mouscron,7700,10665555,105000,Rue de Courtrai 28,1,E,398.0,0,1,0,0,31,2,0,Just renovated,0,0,1,0,1,Semi equipped,Electric,105000,€105000,1,Hainaut,Wallonia
845,apartment,bruxelles,1000,10665552,219000,Avenue de l'Hopital Français 15,2,E,212.0,0,1,19,0,33,3,1962,0,0,1,0,0,1,Semi equipped,Electric,219000,€219000,1,Brussels Hoofdstedelijk Gewest,Brussels
846,apartment,etterbeek,1040,10665547,275000,rue du Monastère 12,2,G,517.0,0,0,0,0,20,2,1956,0,0,1,0,0,0,Installed,Gas,275000,€275000,0,Brussels Hoofdstedelijk Gewest,Brussels
847,apartment,temse,9140,10665546,259000,Prinses Josephine Charlottelaan 72,3,C,253.0,0,1,0,0,0,3,1974,Just renovated,0,1,0,0,1,Installed,Fuel oil,259000,€259000,1,Oost-Vlaanderen,Flanders
848,villa,temse,9140,10665544,1589000,Bredabaan 260,10,C,211.0,0,1,0,4670,0,4,1977,As new,0,3,0,0,0,Hyper equipped,Gas,1589000,€1589000,1,Oost-Vlaanderen,Flanders
849,house,deurne,2100,10665533,299000,Bischoppenhoflaan 284,4,D,302.0,0,0,0,170,30,2,0,To renovate,0,1,0,0,2,Semi equipped,Gas,299000,€299000,0,Antwerpen,Flanders
850,apartment,mechelen-bovelingen,3870,10665528,292500,Tiensesteenweg 227/101,3,A+,-20.0,0,1,47,0,0,2,2022,0,0,1,0,0,0,Installed,0,292500,€292500,1,Limburg,Flanders
851,house,sint-truiden,3800,10665527,179000,Tiensesteenweg 227/101,2,C,292.0,0,0,0,0,0,2,1959,To renovate,0,1,0,0,0,Semi equipped,Gas,179000,€179000,0,Limburg,Flanders
852,house,genk,3600,10553098,285000,Tiensesteenweg 227/101,3,F,665.0,0,0,0,558,0,4,1973,Good,0,1,0,0,1,Installed,Fuel oil,285000,€285000,0,Limburg,Flanders
853,apartment,wilrijk,2610,10665525,279000,Sint-Jansvliet 5,2,B,158.0,0,1,6,0,0,2,2008,Good,0,1,0,1,1,Installed,Gas,279000,€279000,1,Antwerpen,Flanders
854,apartment,gent,9000,10665522,239000,Antwerpsesteenweg 211,2,B,151.0,0,1,14,0,26,0,1980,Good,0,1,0,0,1,Installed,0,239000,€239000,1,Oost-Vlaanderen,Flanders
855,apartment,sint-amandsberg,9040,10665521,239000,Antwerpsesteenweg 211,2,B,151.0,0,1,14,0,26,0,1980,Good,0,1,0,0,1,Installed,0,239000,€239000,1,Oost-Vlaanderen,Flanders
856,ground-floor,gent,9000,10665519,339000,Antwerpsesteenweg 211,3,C,272.0,0,1,65,0,26,0,0,As new,0,0,1,1,1,Installed,Gas,339000,€339000,1,Oost-Vlaanderen,Flanders
857,house,poederlee,2275,10665516,289000,Wechelsebaan 64,4,F,618.0,0,1,35,616,31,0,1972,To renovate,0,1,0,0,1,Semi equipped,Gas,289000,€289000,1,Antwerpen,Flanders
858,house,mornimont,5190,10588935,239000,Rue du centre 24,4,G,663.0,0,0,0,530,27,4,0,Good,0,1,1,1,3,Semi equipped,Fuel oil,239000,€239000,0,Namur,Wallonia
859,house,braine-l%27alleud,1420,10665508,327500,"Avenue Napoléon, 1",3,D,262.0,0,1,21,201,29,2,1970,0,0,1,0,0,2,Installed,Gas,327500,€327500,1,Brabant wallon,Wallonia
860,house,montegn%C3%89e,4420,10665502,269000,Route du Condroz 94,4,D,321.0,0,0,0,455,0,3,0,0,0,1,0,0,0,Installed,0,269000,€269000,0,Liï¿½ge,Wallonia
861,house,vezin,5300,10665501,699000,Route du Condroz 94,5,G,595.0,0,0,0,6250,0,4,1870,0,0,1,2,0,3,0,Electric,699000,€699000,0,Namur,Wallonia
862,house,vezin,5300,10665500,499000,Route du Condroz 94,5,G,595.0,0,0,0,2950,0,4,1870,0,0,1,2,0,3,0,Electric,499000,€499000,0,Namur,Wallonia
863,house,seraing,4100,10665498,159000,Route du Condroz 94,2,E,392.0,0,1,16,182,32,0,0,0,0,1,0,0,0,0,0,159000,€159000,1,Liï¿½ge,Wallonia
864,house,stabroek,2940,10554963,430000,Paalstraat 70,3,C,256.0,0,1,42,447,32,3,1960,Good,0,1,0,0,0,Installed,Gas,430000,€430000,1,Antwerpen,Flanders
865,house,geraardsbergen,9500,10665484,240000,Grote Markt 35,3,B,138.0,0,0,0,58,20,2,2019,Just renovated,0,1,0,0,2,Installed,Gas,240000,€240000,0,Oost-Vlaanderen,Flanders
867,villa,beringen,3582,10665470,349000,Guido Gezellelaan 44,6,C,207.0,0,1,0,1648,0,4,1974,Good,0,2,1,0,3,Installed,Gas,349000,€349000,1,Limburg,Flanders
868,house,hasti%C3%88re-lavaux,5540,10665469,129000,Guido Gezellelaan 44,3,B,164.0,0,1,0,620,0,4,2016,To be done up,0,1,0,0,1,Semi equipped,Fuel oil,129000,€129000,1,Namur,Wallonia
869,house,beringen,3582,10665464,349000,Guido Gezellelaan 44,6,C,207.0,0,1,0,1648,0,4,1974,Good,0,2,1,0,3,Installed,Gas,349000,€349000,1,Limburg,Flanders
870,house,blankenberge,8370,10665462,139000,Grote Markt 1,4,F,627.0,1,1,0,83,0,2,0,Good,0,0,0,0,1,Semi equipped,Gas,139000,€139000,1,West-Vlaanderen,Flanders
871,house,zoersel,2980,10577036,895000,Wolvenbosdreef 6,3,F,532.0,0,1,0,5610,0,0,0,Good,0,0,1,0,2,Hyper equipped,Gas,895000,€895000,1,Antwerpen,Flanders
872,house,leuven,3000,10665461,359000,Vismarkt 10 c,3,C,256.0,0,0,0,43,0,3,1930,0,0,1,1,0,1,0,Gas,359000,€359000,0,Vlaams-Brabant,Flanders
873,house,farciennes,6240,10665460,239000,Rue Charles Dupret 13,2,F,475.0,0,0,0,875,0,4,0,0,0,1,0,0,0,Semi equipped,Fuel oil,239000,€239000,0,Hainaut,Wallonia
874,house,leuven,3000,10665458,849000,Vismarkt 10 c,6,B,137.0,0,1,22,100,32,2,0,Just renovated,0,2,0,0,3,0,Gas,849000,€849000,1,Vlaams-Brabant,Flanders
875,apartment,antwerp,2000,10665455,239000,Museumstraat 50,1,C,258.0,0,0,0,0,28,0,0,0,0,1,0,0,1,Installed,Gas,239000,€239000,0,Antwerpen,Flanders
876,apartment,antwerp,2000,10665454,485000,Museumstraat 50,1,B,147.0,0,1,30,0,0,2,2022,0,0,1,0,0,1,Installed,0,485000,€485000,1,Antwerpen,Flanders
877,villa,eupen,4700,10665453,890000,Route de Herbesthal 89,5,C,192.0,0,1,100,3433,0,4,1989,Good,0,2,0,0,4,Hyper equipped,Fuel oil,890000,€890000,1,Liï¿½ge,Wallonia
878,house,puurs-sint-amands,2890,10665452,495000,Korenmarkt 8,3,E,463.0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,Gas,495000,€495000,0,Antwerpen,Flanders
879,villa,wielsbeke,8710,10665450,550000,"Roterijstraat, 202",4,C,228.0,0,1,0,801,0,4,2005,Good,0,1,0,0,0,Installed,Gas,550000,€550000,1,West-Vlaanderen,Flanders
880,house,lokeren,9160,10665439,210000,Durmelaan 24,3,C,255.0,0,0,0,103,0,2,1965,Good,0,0,0,0,2,0,Gas,210000,€210000,0,Oost-Vlaanderen,Flanders
881,apartment,mechelen,2800,10665438,23000,Dorp 35,3,B,174.0,0,0,0,0,0,2,1966,Good,0,1,0,0,2,0,Gas,23000,€23.000,0,Antwerpen,Flanders
882,house,menen,8930,10665437,99000,Vierkeerstraat 2 bus 2,3,E,434.0,0,0,0,55,12,2,0,To renovate,0,1,0,0,1,0,Gas,99000,€99000,0,West-Vlaanderen,Flanders
883,house,menen,8930,10665436,220000,Vierkeerstraat 2 bus 2,4,B,181.0,0,0,0,123,16,2,1918,Good,0,1,0,0,2,0,Gas,220000,€220000,0,West-Vlaanderen,Flanders
885,apartment,sint-andries,8200,10665434,220000,Brugsestraat 1,2,D,397.0,0,1,0,0,0,2,1965,Good,0,1,0,0,1,0,Gas,220000,€220000,1,West-Vlaanderen,Flanders
886,house,ieper,8900,10665431,119000,Dikkebusseweg 99,2,C,217.0,0,0,0,0,0,4,0,To renovate,0,2,0,0,2,0,0,119000,€119000,0,West-Vlaanderen,Flanders
887,house,oostende,8400,10665428,495000,"Nieuwpoortsesteenweg, 74",4,D,336.0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,Gas,495000,€495000,0,West-Vlaanderen,Flanders
888,house,halle,1500,10665426,259000,Basiliekstraat 136,3,D,371.0,0,1,0,80,26,4,0,To be done up,0,1,0,1,0,0,0,259000,€259000,1,Vlaams-Brabant,Flanders
889,apartment,ninove,9400,10665419,199000,Parklaan 187,2,D,388.0,0,1,20,0,20,0,0,Good,0,0,0,0,1,Installed,Gas,199000,€199000,1,Oost-Vlaanderen,Flanders
891,duplex,willebroek,2830,10665406,305000,Dorpshart 10,3,B,146.0,0,1,12,0,30,0,2014,Good,0,1,0,0,2,Hyper equipped,Gas,305000,€305000,1,Antwerpen,Flanders
892,house,waregem,8790,10665403,315000,Stormestraat 100,3,C,247.0,0,1,0,292,27,2,0,Good,0,0,0,0,2,Installed,Gas,315000,€315000,1,West-Vlaanderen,Flanders
893,house,lonzee,5030,10665402,250000,Chaussee de Charleroi 59 B,2,F,491.0,0,0,0,427,0,3,1961,To renovate,0,0,1,0,1,Not installed,0,250000,€250000,0,Namur,Wallonia
894,exceptional-property,uccle,1180,10665398,1950000,Chaussée de Waterloo 1382,6,G,744.0,0,1,0,1100,0,4,1951,To renovate,0,5,0,0,0,Not installed,Gas,1950000,€1950000,1,Brussels Hoofdstedelijk Gewest,Brussels
895,apartment,ledeberg,9050,10665395,245000,Kouter 98,2,B,129.0,0,1,15,0,0,4,1969,Good,0,1,0,0,1,Installed,Gas,245000,€245000,1,Oost-Vlaanderen,Flanders
896,house,roeselare,8800,10665394,275000,Grote Markt 13,3,E,403.0,0,1,0,524,0,3,1970,To be done up,0,1,0,0,1,Installed,Fuel oil,275000,€275000,1,West-Vlaanderen,Flanders
897,apartment,westende,8434,10665390,159000,Leopoldlaan 1,1,D,311.0,0,0,0,0,0,2,1977,Good,0,1,0,0,0,Installed,Electric,159000,€159000,0,West-Vlaanderen,Flanders
898,chalet,stekene,9190,10665378,235000,Gentse Baan 45A,2,E,419.0,0,0,0,4197,0,4,2007,Good,0,2,0,1,0,0,Gas,235000,€235000,0,Oost-Vlaanderen,Flanders
899,apartment-block,rocourt,4000,10665364,249000,Chaussée de Tongres 325,3,E,396.0,0,0,0,220,0,2,0,0,0,0,0,0,0,0,0,249000,€249000,0,Liï¿½ge,Wallonia
900,duplex,antwerpen%20merksem,2170,10665348,275000,Jan Van Gentsctraat 5,2,B,114.0,0,0,0,0,38,2,0,As new,0,1,0,0,1,0,Gas,275000,€275000,0,Antwerpen,Flanders
901,house,gingelom,3890,10623647,249000,Leuvensestraat 70,3,D,323.0,0,1,40,481,28,3,1993,To be done up,0,1,0,1,0,Installed,0,249000,€249000,1,Limburg,Flanders
902,duplex,laeken,1020,10665345,299000,Rue de Wand 25,2,D,210.0,0,0,0,0,29,2,1960,0,0,1,2,0,2,Installed,Gas,299000,€299000,0,Brussels Hoofdstedelijk Gewest,Brussels
903,apartment,forest,1190,10665343,250000,Rue Basse 21-23 Bte15 b1,3,E,268.0,0,1,13,0,27,2,0,To be done up,0,1,0,0,2,Not installed,Gas,250000,€250000,1,Brussels Hoofdstedelijk Gewest,Brussels
905,apartment,schaerbeek,1030,10665341,155000,Rue Basse 21-23 Bte15 b1,1,G,888.0,0,0,0,0,16,3,0,To renovate,0,1,0,0,1,0,Gas,155000,€155000,0,Brussels Hoofdstedelijk Gewest,Brussels
906,apartment,bruxelles,1000,10665340,350000,Rue Basse 21-23 Bte15 b1,2,D,195.0,0,1,24,0,27,3,0,Good,0,1,1,0,1,Hyper equipped,0,350000,€350000,1,Brussels Hoofdstedelijk Gewest,Brussels
907,apartment,bruxelles,1000,10665339,340000,Rue Basse 21-23 Bte15 b1,2,E,257.0,0,1,0,0,0,2,0,As new,0,1,0,0,1,USA hyper equipped,Electric,340000,€340000,1,Brussels Hoofdstedelijk Gewest,Brussels
908,service-flat,ixelles,1050,10665337,420000,Rue Basse 21-23 Bte15 b1,2,D,198.0,0,1,23,0,28,2,0,As new,0,1,0,0,1,Hyper equipped,0,420000,€420000,1,Brussels Hoofdstedelijk Gewest,Brussels
909,apartment,uccle,1180,10665336,399000,Rue Basse 21-23 Bte15 b1,3,E,231.0,0,1,46,0,50,3,0,As new,0,2,1,0,2,Hyper equipped,Gas,399000,€399000,1,Brussels Hoofdstedelijk Gewest,Brussels
910,apartment,uccle,1180,10665335,299000,Rue Basse 21-23 Bte15 b1,3,D,176.0,0,1,13,0,26,2,0,Good,0,1,0,0,1,Not installed,Gas,299000,€299000,1,Brussels Hoofdstedelijk Gewest,Brussels
911,house,watermael-boitsfort,1170,10665334,498000,Rue Basse 21-23 Bte15 b1,3,D,187.0,0,1,15,0,22,4,0,As new,0,1,0,1,2,USA installed,Gas,498000,€498000,1,Brussels Hoofdstedelijk Gewest,Brussels
912,house,bruxelles,1020,10665332,698000,Rue Basse 21-23 Bte15 b1,3,G,435.0,0,1,0,600,34,4,0,As new,0,1,0,1,2,USA hyper equipped,Gas,698000,€698000,1,Brussels Hoofdstedelijk Gewest,Brussels
913,apartment,uccle,1180,10665331,448000,Rue Basse 21-23 Bte15 b1,3,E,231.0,0,1,46,0,50,3,0,As new,0,2,1,0,2,Hyper equipped,Gas,448000,€448000,1,Brussels Hoofdstedelijk Gewest,Brussels
914,apartment,uccle,1180,10665330,698000,Rue Basse 21-23 Bte15 b1,4,D,174.0,0,1,10,0,52,2,0,Good,0,3,1,0,3,Semi equipped,Gas,698000,€698000,1,Brussels Hoofdstedelijk Gewest,Brussels
915,duplex,laeken,1020,10665329,359000,Avenue de L'amarante 39,3,D,156.0,0,1,10,0,0,2,1950,As new,0,2,1,0,2,USA installed,0,359000,€359000,1,Brussels Hoofdstedelijk Gewest,Brussels
916,apartment,bruxelles,1020,10665328,200000,Avenue de L'amarante 39,2,G,803.0,0,1,2,0,21,2,1959,To renovate,0,1,0,0,1,Semi equipped,Fuel oil,200000,€200000,1,Brussels Hoofdstedelijk Gewest,Brussels
917,house,grez-doiceau,1390,10665327,265000,"Chaussée de Jodoigne, 29",3,G,583.0,0,1,0,806,30,3,0,To renovate,0,1,0,0,1,Installed,Fuel oil,265000,€265000,1,Brabant wallon,Wallonia
918,duplex,fontainel%27ev%C3%AAque,6142,10665326,280000,Boulevard Tirou 94,3,B,126.0,0,1,10,0,30,2,2005,As new,0,1,0,0,1,0,Gas,280000,€280000,1,Hainaut,Wallonia
919,house,veurne,8630,10665320,472000,Noordstraat 10,4,B,136.0,0,0,0,859,0,4,1988,Good,0,2,0,0,2,Installed,Gas,472000,€472000,0,West-Vlaanderen,Flanders
920,house,sint-michiels,8200,10665319,325000,Vlamingstraat 62,3,C,207.0,0,1,0,0,0,3,1978,As new,0,1,0,0,1,Installed,Gas,325000,€325000,1,West-Vlaanderen,Flanders
922,manor-house,sint-michiels,8200,10665317,2500000,Vlamingstraat 62,4,B,175.0,0,1,0,113332,0,4,1899,Good,0,2,0,0,0,Installed,0,2500000,€2500000,1,West-Vlaanderen,Flanders
923,house,zedelgem,8210,10665316,352000,Vlamingstraat 62,4,E,404.0,0,1,0,614,0,4,1974,To be done up,0,1,0,0,1,Installed,Gas,352000,€352000,1,West-Vlaanderen,Flanders
924,house,molenbeek-saint-jean,1080,10665314,259000,"Boulevard Louis Mettewie 262, Bte 18",2,G,454.0,0,1,17,0,27,2,0,0,0,1,0,0,2,Installed,Gas,259000,€259000,1,Brussels Hoofdstedelijk Gewest,Brussels
925,ground-floor,profondeville,5170,10665306,299000,"Avenue Albert 1er, 46",3,C,171.0,0,1,72,0,50,4,0,As new,0,0,3,1,2,0,Gas,299000,€299000,1,Namur,Wallonia
927,house,kortenberg,3070,10665299,665000,Tervuursevest 356,4,E,476.0,0,1,0,580,0,4,1955,Good,0,2,0,0,0,0,Gas,665000,€665000,1,Vlaams-Brabant,Flanders
928,duplex,neupr%C3%A9,4120,10665297,119000,Rue de Plainevaux 102,2,F,490.0,0,0,0,0,27,3,0,To be done up,0,1,0,0,0,0,Fuel oil,119000,€119000,0,Liï¿½ge,Wallonia
929,apartment,berchem-sainte-agathe,1082,10655697,425000,Avenue de l'Hopital Français 15,2,B,95.0,0,1,95,0,53,3,2012,0,0,1,0,0,0,0,0,425000,€425000,1,Brussels Hoofdstedelijk Gewest,Brussels
930,penthouse,berchem-sainte-agathe,1082,10655696,425000,Avenue de l'Hopital Français 15,2,B,95.0,0,1,95,0,53,3,2012,As new,0,1,0,0,0,USA hyper equipped,Gas,425000,€425000,1,Brussels Hoofdstedelijk Gewest,Brussels
931,house,kessel-lo%20%28leuven%29,3010,10665296,545000,Tervuursevest 356,2,C,282.0,0,0,0,293,0,3,1963,Good,0,1,0,0,0,0,Fuel oil,545000,€545000,0,Vlaams-Brabant,Flanders
932,apartment,herentals,2200,10665291,179000,Grote Markt 10,1,B,171.0,0,1,0,0,0,3,2004,Good,0,1,0,0,1,Semi equipped,Gas,179000,€179000,1,Antwerpen,Flanders
933,house,lommel,3920,10665284,425000,Statiestraat 47,4,B,151.0,0,1,20,544,64,0,0,As new,0,0,0,0,2,Hyper equipped,Gas,425000,€425000,1,Limburg,Flanders
936,flat-studio,namur,5000,10665277,85000,Chaussée de Bruxelles 23 (sur N5),1,D,289.0,0,0,0,0,16,0,1930,Good,0,0,1,0,1,Semi equipped,Gas,85000,€85000,0,Namur,Wallonia
938,apartment,waremme,4300,10665274,320000,"rue De Huy, 273",3,B,152.0,0,1,40,0,25,0,2007,As new,0,1,0,0,3,Installed,Gas,320000,€320000.,1,Liï¿½ge,Wallonia
939,house,macquenoise,6593,10665267,110000,Rue des ormeaux 14,3,F,504.0,0,0,0,900,27,4,0,0,0,1,0,0,0,Not installed,0,110000,€110000,0,Hainaut,Wallonia
940,house,gilly%20%28charleroi%29,6060,10665264,120000,Rue de Montigny 38,1,G,554.0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,Gas,120000,€120000,0,Hainaut,Wallonia
942,apartment,mons,7000,10665261,215000,Rue de Nimy 31A/0-1,2,B,168.0,0,1,4,0,0,2,0,0,0,1,0,0,0,Installed,Gas,215000,€215000,1,Hainaut,Wallonia
944,manor-house,maarkedal,9680,10665256,1750000,markt 9,7,B,106.0,0,1,50,4711,0,4,1850,As new,0,8,0,0,1,Installed,0,1750000,€1750000,1,Oost-Vlaanderen,Flanders
945,apartment,molenbeek-saint-jean,1080,10665254,239000,Avenue François Sebrechts 26,2,C,131.0,0,1,13,0,47,2,1966,As new,0,1,0,0,2,Hyper equipped,Gas,239000,€239000,1,Brussels Hoofdstedelijk Gewest,Brussels
946,duplex,waregem,8790,10665236,285000,Stationstraat 31,2,B,134.0,0,1,6,0,0,4,2005,As new,0,1,0,0,2,Installed,Gas,285000,€285000,1,West-Vlaanderen,Flanders
948,house,lommel,3920,10665232,359000,Kapittelhof 22,3,D,355.0,0,0,0,865,0,4,1973,To be done up,0,1,0,0,0,0,Gas,359000,€359000,0,Limburg,Flanders
949,apartment,brugge,8000,10665231,739000,Vlamingstraat 62,9,B,192.0,1,1,0,0,0,2,1918,Good,0,3,0,0,4,Installed,Gas,739000,€739000,1,West-Vlaanderen,Flanders
950,house,schilde,2970,10665230,389000,Bredabaan 467a,2,F,532.0,0,0,0,550,0,3,1970,Good,0,1,0,0,0,0,Gas,389000,€389000,0,Antwerpen,Flanders
951,apartment,schoten,2900,10665227,265000,Lambrechtshoekenlaan 183,2,C,264.0,0,1,40,0,0,4,1970,Good,0,1,0,0,1,Installed,Gas,265000,€265000,1,Antwerpen,Flanders
952,house,merksem,2170,10665226,289900,Lambrechtshoekenlaan 183,5,F,815.0,0,0,0,207,0,2,1955,To renovate,0,1,0,0,0,0,0,289900,€289900,0,Antwerpen,Flanders
953,house,strombeek-bever,1853,10665225,560000,Verbeytstraat 1/1,5,F,669.0,0,1,0,1040,0,4,1935,Good,0,2,0,0,1,0,0,560000,€560000,1,Vlaams-Brabant,Flanders
961,house,wortegem-petegem,9790,10665217,485000,Abeelstraat 26A,4,C,216.0,0,1,0,1070,0,4,0,Good,0,1,0,0,2,Installed,Fuel oil,485000,€485000,1,Oost-Vlaanderen,Flanders
963,apartment,gembloux,5030,10665207,270000,Chaussee de Charleroi 59 B,3,B,140.0,0,0,0,0,50,3,2022,0,0,1,0,0,1,Semi equipped,Gas,270000,€270000,0,Namur,Wallonia
964,apartment-block,gembloux,5030,10665206,1470000,Chaussee de Charleroi 59 B,9,B,96.0,0,1,42,983,96,3,2022,0,0,2,1,0,5,Semi equipped,Gas,1470000,€1470000,1,Namur,Wallonia
965,house,enghien,7850,10665205,590000,Impasse Saint-Paul 16,4,C,202.0,0,1,40,40,60,2,0,As new,0,2,0,0,3,Hyper equipped,Gas,590000,€590000,1,Hainaut,Wallonia
966,house,woluwe-saint-lambert,1200,10665194,695000,Avenue Reine Astrid 92A,3,E,227.0,0,1,15,181,60,2,1964,As new,0,2,2,1,3,USA hyper equipped,0,695000,€695000,1,Brussels Hoofdstedelijk Gewest,Brussels
967,house,aalst,9300,10665193,195000,Molenstraat 22A,4,F,521.0,0,0,0,60,12,2,1899,Good,0,1,0,0,0,0,Gas,195000,€195000,0,Oost-Vlaanderen,Flanders
969,house,westerlo,2260,10665189,389000,Markt 20,4,D,357.0,0,1,0,1332,0,4,1960,Just renovated,0,1,0,0,2,0,Gas,389000,€389000,1,Antwerpen,Flanders
970,house,olmen,2491,10665188,225000,Markt 20,3,E,492.0,0,1,0,440,0,3,0,To be done up,0,1,0,0,1,0,Pellet,225000,€225000,1,Antwerpen,Flanders
971,house,rijkevorsel,2310,10665185,581000,Lierselei 13/1,6,B,197.0,0,0,0,0,0,2,0,Good,0,3,0,0,0,0,0,581000,€581000,0,Antwerpen,Flanders
972,house,aalst%20meldert,9310,10665181,400000,Graanmarkt 10,3,E,428.0,0,1,0,1020,40,4,0,To be done up,0,1,0,0,1,USA installed,Fuel oil,400000,€400000,1,Oost-Vlaanderen,Flanders
973,house,affligem,1790,10665180,400000,Graanmarkt 10,3,E,428.0,0,1,0,1020,40,4,0,To be done up,0,1,0,0,1,USA installed,Fuel oil,400000,€400000,1,Vlaams-Brabant,Flanders
974,house,ittre,1460,10665176,240000,Rue De Mons 46,3,F,478.0,0,1,20,375,25,3,1974,Good,0,1,0,1,1,Semi equipped,Gas,240000,€240000,1,Brabant wallon,Wallonia
977,house,bouwel,2288,10665167,549000,Antwerpsesteenweg 359,3,C,255.0,0,1,0,700,0,4,1999,Good,0,1,1,0,2,USA hyper equipped,Gas,549000,€549000,1,Antwerpen,Flanders
978,house,hofstade,9308,10665164,238000,Keiberg 16,2,F,1090.0,0,1,16,210,0,3,1930,0,0,1,1,0,1,Installed,Gas,238000,€238000,1,Oost-Vlaanderen,Flanders
979,house,haine-st-pierre,7100,10665163,325000,Grand Place 33,3,B,151.0,0,0,0,289,0,3,0,Good,0,0,1,0,1,Installed,Gas,325000,€325000,0,Hainaut,Wallonia
980,house,ath,7800,10665160,190000,"Rue de Nazareth , 15",2,D,303.0,0,0,0,240,31,3,0,Good,0,1,1,1,1,Semi equipped,Gas,190000,€190000,0,Hainaut,Wallonia
981,flat-studio,molenbeek-saint-jean,1080,10665158,25000,Parvis Sainte-Alix 37,0,C,113.0,0,1,5,0,27,2,2017,As new,0,1,1,0,1,USA hyper equipped,Gas,25000,€25.000,1,Brussels Hoofdstedelijk Gewest,Brussels
984,house,ninove,9400,10665137,325000,Meyskensstraat 222,2,B,116.0,0,1,20,183,23,2,1930,As new,0,1,0,0,2,Installed,Gas,325000,€325000,1,Oost-Vlaanderen,Flanders
985,house,denderleeuw,9470,10665136,480000,Meyskensstraat 222,3,E,446.0,0,1,10,730,40,3,1972,Good,0,1,1,1,2,Installed,Gas,480000,€480000,1,Oost-Vlaanderen,Flanders
986,house,mechelen,2800,10665123,469000,Guldenstraat 22,3,B,191.0,0,0,0,0,0,0,0,Good,0,1,0,0,2,Installed,Gas,469000,€469000,0,Antwerpen,Flanders
987,house,opwijk,1745,10665121,375000,Schoolstraat 101,4,F,806.0,0,1,0,2037,0,4,1965,0,0,1,0,0,2,0,Fuel oil,375000,€375000,1,Vlaams-Brabant,Flanders
988,house,moerbeke,9180,10665119,239000,Durmelaan 24,2,F,602.0,0,0,0,280,0,3,1918,Good,0,1,0,0,2,0,Gas,239000,€239000,0,Oost-Vlaanderen,Flanders
989,house,scheldewindeke,9860,10665118,439000,Stationsstraat 76,3,F,559.0,0,1,0,624,0,4,1976,Good,0,1,0,1,2,0,Electric,439000,€439000,1,Oost-Vlaanderen,Flanders
990,house,lennik,1750,10665117,319000,"Ninoofsesteenweg, 255",3,D,359.0,0,0,0,766,18,2,1937,Good,0,2,0,1,0,0,Gas,319000,€319000,0,Vlaams-Brabant,Flanders
991,house,rijmenam,2820,10665116,435000,Dorp 35,3,D,384.0,0,0,0,1466,36,4,1976,Good,0,1,0,0,1,0,Fuel oil,435000,€435000,0,Antwerpen,Flanders
992,house,schriek,2223,10665112,319000,Markt 16 bus 1,3,E,423.0,0,0,0,1244,32,4,1966,Good,0,1,0,0,2,Installed,Gas,319000,€319000,0,Antwerpen,Flanders
993,apartment,blankenberge,8370,10665104,229000,Graaf Jansdijk 6/001,2,B,146.0,0,0,0,0,25,2,2008,Good,0,1,0,1,1,0,Gas,229000,€229000,0,West-Vlaanderen,Flanders
994,manor-house,hamme,9220,10665100,1750000,Patotterijstraat 29,5,B,129.0,0,0,0,8654,0,4,0,Good,0,3,0,0,0,0,Gas,1750000,€1750000,0,Oost-Vlaanderen,Flanders
995,house,wachtebeke,9185,10665096,339000,Oostkade 2A,3,C,294.0,0,1,0,493,0,4,2002,Good,0,1,0,0,0,0,Gas,339000,€339000,1,Oost-Vlaanderen,Flanders
996,house,ekeren,2180,10665091,349000,Hoek 29,4,C,271.0,0,0,0,126,0,2,1964,Good,0,1,0,0,0,0,Gas,349000,€349000,0,Antwerpen,Flanders
997,house,moorslede,8890,10665090,385000,Sint-Petrus en Paulusstraat 17 bus 1,3,D,370.0,0,1,0,845,0,4,1999,Good,0,1,0,0,2,0,Electric,385000,€385000,1,West-Vlaanderen,Flanders
